,DIABETES,OBESITY,BPHIGH,CSMOKING,lapop1,lalowi1,LILATracts_1And10,MedianFamilyIncome,TractHUNV,TractSNAP
DIABETES,1.0,0.747,0.887,0.77,-0.049,0.295,0.321,-0.596,0.319,0.502
OBESITY,0.747,1.0,0.672,0.844,0.023,0.338,0.322,-0.703,0.282,0.535
BPHIGH,0.887,0.672,1.0,0.665,0.046,0.287,0.208,-0.488,0.228,0.353
CSMOKING,0.77,0.844,0.665,1.0,0.023,0.393,0.344,-0.728,0.324,0.564
lapop1,-0.049,0.023,0.046,0.023,1.0,0.731,0.022,0.061,-0.163,-0.024
lalowi1,0.295,0.338,0.287,0.393,0.731,1.0,0.329,-0.368,0.071,0.334
LILATracts_1And10,0.321,0.322,0.208,0.344,0.022,0.329,1.0,-0.379,0.249,0.378
MedianFamilyIncome,-0.596,-0.703,-0.488,-0.728,0.061,-0.368,-0.379,1.0,-0.326,-0.585
TractHUNV,0.319,0.282,0.228,0.324,-0.163,0.071,0.249,-0.326,1.0,0.629
TractSNAP,0.502,0.535,0.353,0.564,-0.024,0.334,0.378,-0.585,0.629,1.0
