Outcome,Predictor,Pearson_r,p_value,N
DIABETES,lapop1,-0.049,0.0,39249
DIABETES,lalowi1,0.2951,0.0,39249
DIABETES,LILATracts_1And10,0.3211,0.0,39249
DIABETES,MedianFamilyIncome,-0.5963,0.0,39249
DIABETES,TractHUNV,0.3188,0.0,39248
OBESITY,lapop1,0.0233,4e-06,39249
OBESITY,lalowi1,0.3384,0.0,39249
OBESITY,LILATracts_1And10,0.3218,0.0,39249
OBESITY,MedianFamilyIncome,-0.7028,0.0,39249
OBESITY,TractHUNV,0.282,0.0,39248
BPHIGH,lapop1,0.0464,0.0,39249
BPHIGH,lalowi1,0.2874,0.0,39249
BPHIGH,LILATracts_1And10,0.2085,0.0,39249
BPHIGH,MedianFamilyIncome,-0.488,0.0,39249
BPHIGH,TractHUNV,0.2277,0.0,39248
CSMOKING,lapop1,0.0231,5e-06,39249
CSMOKING,lalowi1,0.3935,0.0,39249
CSMOKING,LILATracts_1And10,0.344,0.0,39249
CSMOKING,MedianFamilyIncome,-0.7277,0.0,39249
CSMOKING,TractHUNV,0.3236,0.0,39248
