State,n_tracts,pct_food_desert,mean_diabetes,mean_obesity,mean_bphigh,mean_income
Mississippi,451,35.9,17.7,42.83,47.93,50298.46
Arkansas,546,27.1,14.99,41.35,44.3,55358.14
Alabama,930,25.1,16.92,41.7,46.0,57470.91
Louisiana,853,24.4,16.87,41.24,44.27,58704.2
New Mexico,394,23.4,13.45,34.3,34.71,61748.32
Georgia,1247,22.4,14.73,36.78,39.55,64557.79
South Carolina,882,20.5,14.92,36.89,39.83,63378.87
Texas,3748,20.0,14.28,36.93,35.26,70103.15
Indiana,1315,19.7,14.08,40.02,39.3,62964.87
Alaska,148,19.6,10.22,36.22,33.75,88232.4
Tennessee,1274,18.0,14.63,38.6,40.74,63204.2
Oklahoma,869,18.0,13.93,40.14,40.14,61567.55
Missouri,1132,17.9,12.97,37.8,37.58,67555.72
Kansas,665,17.3,12.24,38.1,35.86,70978.58
Delaware,175,17.1,13.15,35.82,37.64,79710.12
North Carolina,1704,16.8,12.78,36.31,37.97,67079.85
Arizona,1284,16.2,11.84,31.9,33.23,69831.05
Idaho,192,15.1,11.2,33.72,33.54,62170.8
Ohio,2606,14.8,14.31,38.6,38.55,66904.16
West Virginia,424,14.6,16.73,41.95,45.14,56234.16
Colorado,1056,14.5,9.09,26.71,27.75,85536.47
Minnesota,1168,14.5,10.38,34.0,31.31,84732.81
South Dakota,193,14.0,12.52,36.58,34.64,69309.11
New Hampshire,234,13.7,9.57,32.62,33.22,91085.66
Virginia,1607,13.7,12.75,35.07,35.72,93681.61
Montana,221,13.1,11.04,33.21,34.25,65857.49
Florida,3258,13.1,13.87,32.23,37.44,68300.39
Michigan,2454,12.4,12.7,37.43,37.72,69708.24
Washington,1150,11.4,9.81,31.76,31.21,86760.03
Oregon,668,11.1,11.29,34.14,33.0,76395.46
Iowa,765,10.5,12.0,39.13,35.56,70994.31
Nebraska,512,10.4,11.19,38.52,33.59,73526.98
Wisconsin,1265,10.2,12.11,38.99,34.26,72495.36
Illinois,2967,10.0,12.26,35.3,33.67,81387.29
Hawaii,198,9.1,12.23,26.11,31.26,93929.8
Maryland,1268,9.1,12.68,35.63,36.86,99959.8
Wyoming,104,8.7,11.28,34.61,32.24,74656.18
Maine,305,8.5,11.92,34.02,36.77,67631.93
North Dakota,177,7.9,11.06,38.01,34.5,81045.98
Massachusetts,1308,7.8,10.03,28.38,31.02,99403.4
District of Columbia,154,7.8,9.1,26.74,30.83,111995.93
Nevada,596,7.6,12.47,32.06,34.61,69722.36
Vermont,164,7.3,9.17,29.66,32.27,76227.43
Utah,478,6.5,8.84,30.91,28.06,79439.99
California,6828,5.9,11.7,28.01,30.4,88618.03
Rhode Island,234,5.6,11.06,31.77,33.55,82418.59
New Jersey,1823,5.3,10.98,29.64,32.7,99513.31
New York,4333,3.7,11.44,29.15,32.06,86615.15
